palabra,frecuencia,es_stopword
the,13698,True
to,7976,True
of,6578,True
in,6365,True
be,4651,True
and,4637,True
on,3774,True
for,3410,True
have,2419,True
say,1976,False
that,1932,True
with,1770,True
as,1720,True
at,1669,True
its,1501,True
it,1437,True
new,1433,False
by,1357,True
from,1221,True
an,1194,True
ap,1117,False
will,1004,True
year,969,False
after,947,True
his,940,True
over,803,True
their,733,True
reuters,730,False
up,730,True
he,727,True
two,675,True
first,673,True
company,651,False
quot,636,False
win,622,False
world,609,False
but,598,True
one,582,True
more,578,True
they,577,True
us,554,True
game,553,False
report,551,False
out,545,True
this,543,True
not,531,True
oil,519,False
monday,518,False
wednesday,505,False
thursday,502,False
